filename,part,publish_time,title,summary,NER,type,publisher,theme,sentiment,NER_FIXED,topic,goods
FL4985439_126_DIGI_0035_00119_VIEW_MAIN.jpg,-1,06/09/1916,Order restricting access to Scheldemeerschen area near Meirelbeke,"The German Etappen-Kommandantur in Ghent has issued an order to the municipality of Meirelbeke restricting access to the Scheldemeerschen area between Meirelbeke and Neder-Swijnaerde, and the road between Ghent, St. Pieters, and Denderleeuw, on September 7th, 1916, from 7:30 AM to 8:45 AM. This restriction is due to a life-threatening situation in the area during that time.","{'people': 'vcn Wick', 'location': 'Gent, Meirelbeke, Neder-Swijnaerde, St. Pieters, Denderleeuw, Scheldemeerschen', 'event': None, 'organization': 'Mob. Etappen-Kommandantuur, Etappen-Kammandant, Gemeente Meirelbeke'}",policy,"Sint-Antonius, Jos. Dooreman-Volckaert","Movement Restriction, Public Safety",Neutral,"{'people': ['V. WICK'], 'location': ['GHENT', 'MEIRELBEKE', 'NEDER-SWIJNAERDE', 'ST. PIETERS', 'DENDERLEEUW', 'SCHELDEMEERSCHEN'], 'event': [], 'organization': 'Mob. Etappen-Kommandantuur, Etappen-Kammandant, Gemeente Meirelbeke'}",military,[]
FL4985056_53_DIGI_0035_00057_VIEW_MAIN.jpg,-1,11/12/1914,Ordinance on the Reporting of Strategic Materials,"This ordinance, issued by Governor-General von Bissing, mandates the immediate written declaration of stockpiles of gasoline, benzol, petroleum, spirits, glycerine, oils, fats, toluol, carbide, raw rubber and rubber waste, and automobile tires to the relevant Kreitschefs or Kommandanturen. The military authority will decide whether the goods will be purchased or released for use and trade. Further manufacturing or import into Belgium of these materials must also be reported. Failure to declare will result in forfeiture and punishment.","{'people': 'Vrijheer VON BISSING', 'location': 'België, Brussel', 'event': None, 'organization': 'De Gouverneur Generaal in België, Kreitschefs, Kommandanturen, Staat'}",policy,Boek- en steendrukkerij E. Guyot,Resource Control,Neutral,"{'people': ['FREIHERR VON BISSING'], 'location': ['BELGIUM', 'BRUSSEL'], 'event': [], 'organization': ['GOVERNOR GENERAL IN BELGIUM', 'DISTRICT CHIEF', 'COMMANDANTUR', 'STATE']}",pricing/rationing/control,"['gasoline', 'benzol', 'petroleum', 'spirits', 'glycerine', 'oils', 'fats', 'toluol', 'carbide', 'raw rubber', 'rubber waste', 'automobile tires']"
FL4985629_164_DIGI_0035_00152_VIEW_MAIN.jpg,-1,29/01/1917,"Extension of the Regulation of November 23, 1916","This regulation, effective February 1, 1917, extends the regulation of November 23, 1916, imposing restrictions on lighting. Street lighting is prohibited after 11 PM, except for military and police buildings. Shops and warehouses must close by 7 PM, excluding pharmacies. Interior lighting in commercial establishments must be minimized, and continuous lighting in corridors and staircases is forbidden, except in buildings housing military offices. Violations are subject to penalties as per the original regulation.","{'people': 'VON UNGER', 'location': 'Flanders', 'event': 'World War I', 'organization': 'E. H. O., Sint-Antonius, Jos. Dooreman-Volckaert'}",policy,DER ETAPPEN-INSPEKTEUR,Restriction of resources during wartime.,negative,"{'people': ['VON UNGER'], 'location': ['FLANDERS'], 'event': ['World War I'], 'organization': ['E. H. O.', 'ST ANTONIUS', 'JOS. DOOREMAN-VOLCKAERT']}",other,[]
FL4985290_98_DIGI_0035_00098_VIEW_MAIN.jpg,-1,28/08/1917,Ordinance Regarding Travel within the General Government,"This ordinance lifts the travel restrictions imposed by the May 1, 1917 ordinance, allowing free travel without a travel permit (Verkehrsschein) within most of the General Government territory, specifically excluding motor vehicles and bicycles. Travel to the Bergen staging area is also permitted without a pass (Passierschein), unless one intends to reside there permanently. Travel by rail to certain stations on the Bertrix-Herbeumont line requires a pass.","{'people': 'Freiherr von Falkenhausen', 'location': 'Doornik, Péruwelz, Leuze, Ath, Zinnik, Thuin, Philippeville, Givet, Fumay, Dinant, Sasoy, Yvoir, Leignon, Marche, Neufchâteau, Bergen, Bertrix, Orgéo, Ardoisières, Mortehan, Herbeumont,Belgie', 'event': 'World War I', 'organization': 'Generalgouvernement'}",policy,Der Generalgouverneur in Belgien,Travel Restrictions,neutral,"{'people': ['FREIHERR VON FALKENHAUSEN'], 'location': ['DOORNIK', 'PÉRUWELZ', 'LEUZE', 'ATH', 'ZINNIK', 'THUIN', 'PHILIPPEVILLE', 'GIVET', 'FUMAY', 'DINANT', 'SASOY', 'YVOIR', 'LEIGNON', 'MARCHE', 'NEUFCHÂTEAU', 'BERGEN', 'BERTRIX', 'ORGÉO', 'ARDOISIÈRES', 'MORTEHAN', 'HERBEUMONT', 'BELGIUM'], 'event': ['World War I'], 'organization': ['GERMAN GENERAL GOVERNMENT']}",other,[]
FL4985340_108_DIGI_0035_00106_VIEW_MAIN.jpg,1,07/05/1916,Winning of Leaf Hay (Horse Fodder),"The local government urges residents to cut young shoots from trees like poplars, lindens, and maples to create horse fodder. These shoots should be dried, cut, and mixed with oats or hay. Residents must report the available kilograms by June 23rd.","{'people': 'Baron van Pottelsberghe de la Potterie', 'location': 'Melle', 'event': 'World War I', 'organization': 'Gemeentebestuur, Duitsche Overheid'}",policy,E. H. O.,"Agriculture, Resource Management",neutral,"{'people': ['BARON VAN POTTELSBERGHE DE LA POTTERIE'], 'location': ['MELLE'], 'event': ['World War I'], 'organization': ['MUNICIPAL ADMINISTRATION', 'GERMAN AUTHORITIES']}",pricing/rationing/control,"['oats', 'hay']"
FL4985340_108_DIGI_0035_00106_VIEW_MAIN.jpg,2,07/05/1916,Expansion of Pig Breeding and Hay Production,"Residents are obligated to expand pig breeding. Registration for feed is available at the town hall. They are also obliged to win as much hay as possible, allow animals to graze pastures in sections, and reseed grazed areas.","{'people': None, 'location': 'Gemeente-huize', 'event': 'World War I', 'organization': 'Gemeentebestuur'}",policy,E. H. O.,"Agriculture, Animal Husbandry, Resource Management",neutral,"{'people': [], 'location': ['TOWN HALL'], 'event': ['World War I'], 'organization': ['MUNICIPAL ADMINISTRATION']}",pricing/rationing/control,['hay']
FL4985340_108_DIGI_0035_00106_VIEW_MAIN.jpg,3,07/05/1916,Registration for Horse Purchases,Individuals who have surrendered their horses to the German authorities or provided labor and wish to buy a horse must register at the town hall on Sunday morning.,"{'people': None, 'location': 'Gemeentehuize', 'event': 'World War I', 'organization': 'Duitsche Overheid'}",policy,E. H. O.,"Agriculture, Animal Husbandry, Government Control",neutral,"{'people': [], 'location': ['TOWN HALL'], 'event': ['World War I'], 'organization': ['GERMAN AUTHORITIES']}",other,[]
FL4985340_108_DIGI_0035_00106_VIEW_MAIN.jpg,4,07/05/1916,New Regulations for Breeding Bulls,Farmers' attention is drawn to the new regulations concerning breeding bulls.,"{'people': None, 'location': None, 'event': None, 'organization': None}",policy,E. H. O.,"Agriculture, Animal Husbandry, Regulations",neutral,"{'people': [], 'location': [], 'event': [], 'organization': []}",other,[]
FL4985584_155_DIGI_0035_00143f_VIEW_MAIN.jpg,-1,23/12/1916,"Regulation Regarding Straw Flax, Processed Flax and Scutching Tow","This regulation, issued by the German High Command for the 4th Army area, concerns the management of straw flax, processed flax, and scutching tow (klodden). It mandates the reporting of existing stocks to local authorities, sets maximum prices for processed flax and tow based on quality, and restricts the transport and sale of these materials without permission. Violators face imprisonment and fines, and the materials involved are subject to confiscation. The aim is to control and regulate the flax supply within the occupied territory.","{'people': 'Herzog Albrecht von Württemberg', 'location': 'Kortrijk, Lokeren, Gent', 'event': 'World War I', 'organization': 'Etappen-Inspektion, Rohstoff-Abteilung, German military courts'}",policy,German High Command (4th Army),"Resource Control, Economic Regulation",negative,"{'people': ['HERZOG ALBRECHT VON WURTTEMBERG'], 'location': ['KORTRIJK', 'LOKEREN', 'GHENT'], 'event': ['World War I'], 'organization': ['STAGE INSPECTORATE', 'RAW MATERIALS DEPARTMENT', 'GERMAN MILITARY COURTS']}",pricing/rationing/control,"['straw flax', 'processed flax', 'scutching tow']"
FL4985584_155_DIGI_0035_00143f_VIEW_MAIN.jpg,-1,28/12/1916,Regulation Regarding the Stocktaking and Use of Wicker,"This regulation prohibits the sale and processing of wicker without permission within the 4th Army area. It requires individuals holding stocks of wicker to declare them to their local authorities, specifying quantities and types. Maximum prices are set for different types of wicker bundles, and boiling or peeling wicker is forbidden without permission. Owners of wicker plantations are responsible for their proper care. Violations are punishable by fines and imprisonment, and the wicker involved is subject to confiscation.","{'people': 'Herzog Albrecht von Württemberg', 'location': '', 'event': 'World War I', 'organization': 'Etappen-Inspektion 4, German military courts'}",policy,German High Command (4th Army),"Resource Control, Economic Regulation",negative,"{'people': ['HERZOG ALBRECHT VON WURTTEMBERG'], 'location': [], 'event': ['World War I'], 'organization': ['STAGE INSPECTORATE 4', 'GERMAN MILITARY COURTS']}",pricing/rationing/control,['wicker']
FL4985584_155_DIGI_0035_00143f_VIEW_MAIN.jpg,-1,01/01/1917,Extension of Mandate for Clerk of West Flanders Province,"This regulation extends the mandate of A. Verougstraete, the clerk of the province of West Flanders, until June 30th.","{'people': 'A. Verougstraete, Herzog Albrecht von Württemberg', 'location': 'West-Vlaanderen', 'event': 'World War I', 'organization': ''}",policy,German High Command (4th Army),Administration,neutral,"{'people': ['A VEROUGSTRAETE', 'HERZOG ALBRECHT VON WURTTEMBERG'], 'location': ['WEST FLANDERS'], 'event': ['World War I'], 'organization': []}",other,[]
FL4985584_155_DIGI_0035_00143f_VIEW_MAIN.jpg,-1,05/01/1917,"Amendment to the Regulation of December 16, 1916","This regulation amends the regulation of December 16, 1916, extending the deadline for declarations and deliveries to January 31, 1917.","{'people': 'Herzog Albrecht von Württemberg', 'location': '', 'event': 'World War I', 'organization': ''}",policy,German High Command (4th Army),Administrative Adjustment,neutral,"{'people': ['HERZOG ALBRECHT VON WURTTEMBERG'], 'location': [], 'event': ['World War I'], 'organization': []}",other,[]
FL4985584_155_DIGI_0035_00143f_VIEW_MAIN.jpg,-1,30/12/1916,"Supplement to the Regulation of December 2, 1916, on Milk Usage","This supplement to the regulation of December 2, 1916, concerning the use and processing of milk, specifies that violations are punishable by fines and imprisonment, unless existing laws prescribe stricter penalties.","{'people': 'Von Unger', 'location': '', 'event': 'World War I', 'organization': 'Etappeninspekteur'}",policy,Etappeninspekteur,"Food Control, Legal Enforcement",negative,"{'people': ['VON UNGER'], 'location': [], 'event': ['World War I'], 'organization': ['STAGE INSPECTORATE 4']}",pricing/rationing/control,['milk']
FL4985584_155_DIGI_0035_00143f_VIEW_MAIN.jpg,-1,01/01/1917,Regulation Amending Regulations on Supervision and Registration,This regulation amends previous regulations concerning supervision and registration. It specifies that the registration offices are responsible for monitoring all male Belgians between the ages of 17 and 45.,"{'people': 'Von Unger', 'location': '', 'event': 'World War I', 'organization': 'Etappeninspekteur'}",policy,Etappeninspekteur,"Population Control, Legal Enforcement",negative,"{'people': ['VON UNGER'], 'location': [], 'event': ['World War I'], 'organization': ['STAGE INSPECTORATE 4']}",military,[]
FL4985564_151_DIGI_0035_00143b_VIEW_MAIN.jpg,-1,23/12/1916,"Regulation on Flax, Processed Flax, and Tow","This regulation, issued by the German military authority (4th Army), concerns the control and management of flax (strooivlas), processed flax (bewerkt vlas), and tow (heede/klodden). It mandates the reporting of stock quantities, sets maximum prices, restricts transportation without permission, and dictates sales to specific entities. Violations are subject to imprisonment and fines. The regulation aims to control flax resources within the occupied territory.","{'people': 'Herzog Albrecht von Württemberg', 'location': 'Kortrijk, Lokeren, Gent', 'event': None, 'organization': 'Etappen-Inspektion, Wirtschaftsausschuss, Rohstoff-Abteilung, Vlasbureelen, German military'}",policy,German military authority (4th Army),Resource Control,Neutral,"{'people': ['HERZOG ALBRECHT VON WURTTEMBERG'], 'location': ['KORTRIJK', 'LOKEREN', 'GHENT'], 'event': [], 'organization': ['STAGE INSPECTORATE', 'STAGE INSPECTORATE (ECONOMIC COMMITTEE)', 'RAW MATERIALS DEPARTMENT', 'FLAX OFFICES', 'GERMAN MILITARY']}",pricing/rationing/control,"['flax', 'processed flax', 'tow']"
FL4985564_151_DIGI_0035_00143b_VIEW_MAIN.jpg,-1,28/12/1916,Regulation on the Stocktaking and Use of Wicker,This regulation prohibits the sale and processing of wicker (wissen) without permission from the Etappen-Inspektion 4 (Wirtschaftsausschuss). It mandates reporting of wicker stocks to local authorities and sets prices. The regulation also addresses the timely cutting and proper care of wicker crops. Violations are subject to fines and imprisonment.,"{'people': 'Herzog Albrecht von Württemberg', 'location': None, 'event': None, 'organization': 'Etappen-Inspektion 4 (Wirtschaftsausschuss), German military'}",policy,German military authority (4th Army),Resource Control,Neutral,"{'people': ['HERZOG ALBRECHT VON WURTTEMBERG'], 'location': [], 'event': [], 'organization': ['STAGE INSPECTORATE 4 (ECONOMIC COMMITTEE)', 'GERMAN MILITARY']}",pricing/rationing/control,['wicker']
FL4985564_151_DIGI_0035_00143b_VIEW_MAIN.jpg,-1,01/01/1917,Extension of Mandate for West Flanders Registrar,"The mandate of A. Verougstraete, the registrar of the province of West Flanders, is extended until June 30, 1917.","{'people': 'A. Verougstraete, Herzog Albrecht von Württemberg', 'location': 'West-Vlaanderen', 'event': None, 'organization': None}",policy,German military authority (4th Army),Administration,Neutral,"{'people': ['A VEROUGSTRAETE', 'HERZOG ALBRECHT VON WURTTEMBERG'], 'location': ['WEST FLANDERS'], 'event': [], 'organization': []}",other,[]
FL4985564_151_DIGI_0035_00143b_VIEW_MAIN.jpg,-1,05/01/1917,Amendment to Regulation of 16 December 1916,"This regulation amends the regulation of 16 December 1916, extending the deadline for declarations and deliveries to January 15, 1917, and January 31, 1917, respectively.","{'people': 'Herzog Albrecht von Württemberg', 'location': None, 'event': None, 'organization': None}",policy,German military authority (4th Army),Administration,Neutral,"{'people': ['HERZOG ALBRECHT VON WURTTEMBERG'], 'location': [], 'event': [], 'organization': []}",other,[]
FL4985564_151_DIGI_0035_00143b_VIEW_MAIN.jpg,-1,30/12/1916,Supplement to the Regulation of 2 December 1916 on Milk Use,"This is a supplement to the regulation of December 2, 1916, concerning the use and processing of milk. It states that violations are punishable by fines up to 5000 marks and imprisonment up to two years, unless existing laws prescribe stricter penalties.","{'people': 'Von Unger', 'location': None, 'event': None, 'organization': 'Etappeninspekteur, German military'}",policy,German military authority (4th Army),Resource Control,Negative,"{'people': ['VON UNGER'], 'location': [], 'event': [], 'organization': ['STAGE INSPECTORATE 4', 'GERMAN MILITARY']}",pricing/rationing/control,['milk']
FL4985564_151_DIGI_0035_00143b_VIEW_MAIN.jpg,-1,01/01/1917,Regulation Amending Supervision and Registration System,"This regulation modifies the supervision and registration system, specifically altering section II to state that the Meldeambten (registration offices) are responsible for supervising all male Belgians from the age of 17 to 45.","{'people': 'Von Unger', 'location': None, 'event': None, 'organization': 'Meldeambten, Etappeninspekteur, German military'}",policy,German military authority (4th Army),Population Control,Negative,"{'people': ['VON UNGER'], 'location': [], 'event': [], 'organization': ['REGISTRATION OFFICE', 'STAGE INSPECTORATE 4', 'GERMAN MILITARY']}",military,[]
FL4985245_89_DIGI_0035_00090_VIEW_MAIN.jpg,-1,14/08/1916,Clarifications on the Regulation of Textile Stockpiling in Belgium,"This document provides clarifications regarding the regulation of textile stockpiling in Belgium, issued by the Militärisches Textil-Beschaffungsamt. It addresses specific inquiries concerning the types of textiles subject to the regulation, including confectioned shirts, tulle, furniture fabrics, curtain fabrics, and tubular fabrics. It also clarifies reporting requirements for fabrics in dyeing or bleaching facilities, fabrics imported from Germany, and various types of cloths. The announcement specifies procedures for reporting and handling textiles under the regulation.","{'people': [], 'location': ['België', 'Duitschland', 'Duitsche', 'Brussel'], 'event': [], 'organization': ['Militärisches Textil-Beschaffungsamt']}",policy,Militärisches Textil-Beschaffungsamt,Textile Regulation,neutral,"{'people': [], 'location': ['België', 'Duitschland', 'Duitsche', 'Brussel'], 'event': [], 'organization': ['MILITARY TEXTILE PROCUREMENT OFFICE']}",pricing/rationing/control,"['shirts', 'tulle', 'furniture fabrics', 'curtain fabrics', 'tubular fabrics', 'cloths']"
FL4985519_142_DIGI_0035_00135_VIEW_MAIN.jpg,-1,07/12/1916,Order to Surrender Hand Mills in Meirelbeke,"The German authorities have ordered all hand mills used for grinding grain in the municipality of Meirelbeke to be delivered to the town hall by Monday morning, December 11, 1916.","{'people': [], 'location': ['Meirelbeke'], 'event': ['World War I'], 'organization': ['Duitsche Overheid', 'Gemeentehuis']}",policy,"Drukk. Sint-Antonius, Jos. Dooreman-Volckaert",confiscation of resources,negative,"{'people': [], 'location': ['MEIRELBEKE'], 'event': ['World War I'], 'organization': ['GERMAN AUTHORITIES', 'TOWN HALL']}",pricing/rationing/control,['grain']
FL4985095_59_DIGI_0035_00062_VIEW_MAIN.jpg,-1,16/04/1915,Ordinance Regarding the Belgian Red Cross,"An ordinance issued by General von Bissing, dissolving the Comité-Directeur of the Belgian Red Cross and replacing it with a Midden-Beheer (Central Administration) headed by Count von Hatzfeldt-Trachenberg. All authorities and organizations previously associated with the old committee must now deal exclusively with the new administration in Brussels.","{'people': 'Freiherr VON BISSING, graaf von Hatzfeldt - Trachenberg', 'location': 'België, Brussel', 'event': 'World War I', 'organization': 'Belgisch Roode-Kruis, Comité-Directeur, Midden-Beheer van het Roode-Kruis'}",policy,Der General-Gouverneur in Belgien,Governance and control of humanitarian organizations,Neutral,"{'people': ['FREIHERR VON BISSING', 'GRAAF VON HATZFELDT - TRACHENBERG'], 'location': ['BELGIUM', 'BRUSSEL'], 'event': ['World War I'], 'organization': ['BELGIAN RED CROSS', 'DIRECTOR COMMITTEE', 'BELGIAN RED CROSS']}",other,[]
FL4985673_171_DIGI_0035_00159_VIEW_MAIN.jpg,-1,17/01/1917,Announcement Regarding Gas Usage Restrictions for Cooking,"An announcement by the Military Police Chief, Major Heitz, restricts gas usage to one-third of the previous amount, solely for cooking purposes. Violations will be punished according to regulation number 4 of the 13/04/1917 ordinance.","{'people': 'Heitz', 'location': 'Flanders', 'event': 'World War I', 'organization': 'Military Police'}",policy,Der Militärische Polizeichef,Resource Restriction,Negative,"{'people': ['HEITZ'], 'location': ['FLANDERS'], 'event': ['World War I'], 'organization': 'Military Police'}",pricing/rationing/control,['gas']
